customer_id,credit_score,geography,gender,age,tenure,balance,num_products,has_credit_card,is_active_member,estimated_salary,exited
15565701,698,Delhi,Female,39,9,16199389.000000002,1,0,0,9021238.0,0
15565706,612,Delhi,Male,35,1,0.0,1,1,1,8325625.999999999,1
15565714,601,Maharashtra,Male,47,1,6443006.0,2,0,1,9651797.0,0
15565779,627,Karnataka,Female,30,6,5780932.0,1,1,0,18825849.0,0
15565796,745,Karnataka,Male,48,10,9604855.0,1,1,0,7451064.999999999,0
15565806,532,Maharashtra,Male,38,9,0.0,2,0,0,3058395.0,0
15565878,631,Delhi,Male,29,3,0.0,2,1,1,19796346.0,0
15565879,845,Maharashtra,Female,28,9,0.0,2,1,1,5618598.0,0
15565891,709,Maharashtra,Male,39,8,0.0,2,1,0,5621409.0,0
15565996,653,Maharashtra,Male,44,8,0.0,2,1,1,15463972.0,0
15566030,497,Karnataka,Male,41,5,8054281.0,1,0,0,8872922.0,1
15566091,545,Delhi,Female,32,4,0.0,1,1,0,9473920.0,0
15566111,596,Maharashtra,Male,39,9,0.0,1,1,0,4896359.0,0
15566139,526,Maharashtra,Female,37,5,5357318.0,1,1,0,6283097.0,0
15566156,749,Karnataka,Female,44,0,7149778.999999999,2,0,0,15108379.999999998,0
15566211,616,Karnataka,Female,41,1,10356057.0,1,1,0,23645.0,1
15566251,618,Maharashtra,Female,37,5,9665286.0,1,1,0,9868640.0,1
15566253,580,Karnataka,Male,44,9,14339107.0,1,0,0,14689107.0,1
15566269,787,Maharashtra,Male,25,5,0.0,2,1,0,4730790.0,0
15566292,574,Delhi,Male,36,1,0.0,2,0,1,7170912.0,0
15566295,761,Maharashtra,Female,33,6,13805379.0,2,1,0,14877941.0,0
15566312,660,Delhi,Female,42,5,0.0,3,1,1,18901624.0,1
15566378,515,Maharashtra,Male,48,5,12938794.0,1,0,1,14795591.0,1
15566380,586,Delhi,Female,33,10,6694867.0,2,1,1,14075903.0,0
15566467,683,Karnataka,Female,32,0,13817110.0,2,1,1,18820358.0,0
15566494,487,Maharashtra,Male,45,2,0.0,2,1,0,7747573.0,0
15566495,704,Delhi,Female,24,2,0.0,1,1,0,3560025.0,1
15566531,724,Karnataka,Male,33,4,8804688.0,1,0,1,18694249.0,1
15566543,573,Delhi,Male,44,9,0.0,2,1,0,10712417.0,0
15566563,777,Maharashtra,Female,30,4,13785131.0,1,1,0,500822.99999999994,1
15566594,709,Delhi,Male,23,10,0.0,2,0,0,12959018.0,0
15566633,698,Karnataka,Male,55,8,15505910.0,2,1,1,14458429.0,0
15566660,670,Maharashtra,Female,41,10,0.0,3,1,0,8160202.0,0
15566689,554,Delhi,Male,66,8,0.0,2,1,1,11674762.0,0
15566708,444,Maharashtra,Female,45,4,0.0,2,1,0,16165350.0,1
15566735,548,Karnataka,Female,36,2,10891384.0,2,1,1,14046001.0,0
15566740,587,Delhi,Male,51,3,8373932.000000001,1,0,1,14879845.000000002,0
15566790,598,Maharashtra,Male,28,8,12999176.0,2,0,1,4604108.0,0
15566843,535,Karnataka,Male,20,9,13487440.0,1,1,1,11882556.0,0
15566891,584,Karnataka,Female,41,3,8859493.0,1,1,0,17899789.0,0
15566894,793,Maharashtra,Male,39,3,13781751.999999998,1,0,0,8399779.0,0
15566958,667,Delhi,Male,39,7,16755712.0,1,1,1,4118301.9999999995,0
15566988,656,Karnataka,Female,46,7,14153551.999999998,1,1,0,5059515.0,1
15567013,779,Delhi,Male,33,3,0.0,2,1,0,3080468.0,0
15567063,766,Karnataka,Female,34,6,10643494.0,1,0,1,13799566.0,1
15567078,789,Maharashtra,Female,27,8,6620196.000000001,1,1,1,7945812.0,0
15567114,430,Maharashtra,Male,35,1,11889422.0,1,0,0,292361.0,0
15567147,802,Delhi,Male,40,4,0.0,2,1,1,8190809.0,0
15567246,684,Karnataka,Male,32,3,10263013.0,2,1,1,12743347.0,0
15567328,738,Delhi,Male,38,5,17799707.0,1,0,1,1923341.0,0
15567333,712,Maharashtra,Female,31,7,0.0,2,1,0,17033338.0,0
15567335,559,Maharashtra,Female,42,7,0.0,2,1,1,19004029.0,0
15567339,735,Maharashtra,Male,73,9,0.0,1,1,1,11428333.0,0
15567367,601,Karnataka,Female,42,9,13363616.0,1,0,1,10331574.0,0
15567383,678,Karnataka,Female,44,2,9800913.0,2,0,1,3138486.0,0
15567399,633,Karnataka,Male,43,3,14416429.0,1,1,1,15864646.0,0
15567422,630,Maharashtra,Male,42,6,0.0,2,1,0,16269793.0,0
